experience,job_description,job_desig,job_type,key_skills,location,company_name_encoded
37,1765,2206,Analytics,2342,266,1433
39,27,11853,,13121,13,1045
17,6951,8841,Analytics,9729,5,486
11,3873,4857,,5281,4,486
22,27,11854,Analytics,4870,7,594
35,344,429,,439,4,1881
26,8981,11598,,12842,1491,1831
4,4628,5433,,5913,13,1253
27,1719,2155,Analytics,2285,14,1125
50,27,9522,,10518,52,975
24,928,396,,1209,4,105
47,9163,11855,,13122,13,2628
97,9164,11856,,13123,104,1174
3,1648,2065,Analytics,2186,4,2582
35,2290,2859,,3055,423,572
1,4032,5065,,5494,15,519
22,7235,9224,,10154,5,1915
6,7168,9130,,10054,1082,1156
18,5568,7011,,7684,16,1662
1,27,11857,,13124,7,415
5,9165,11858,Analytics,13125,15,522
15,27,10780,Analytics,13126,7,2642
17,27,4341,,4703,4,1836
9,27,4462,,13127,4,104
23,8792,11339,,12550,4,1679
62,2507,11859,,13128,4,2638
24,2792,11860,,13129,4,897
6,6218,7868,,8659,1116,2311
18,8188,10501,Analytic,12887,5,1985
4,8690,496,,12387,1026,491
3,9166,11861,,13130,7,1535
63,27,8646,,9517,4,1034
36,5345,6725,Analytics,7371,341,122
31,9167,11862,,6824,22,1332
8,9168,11863,analytics,13131,88,2649
24,2593,3593,,3861,4,566
34,9169,11864,,13132,15,810
22,27,10937,,12097,4,1743
37,9170,11865,,13133,4,655
6,5192,354,,7159,67,875
13,9171,11866,,13134,1518,4
126,9172,10175,,13135,13,2694
35,27,1993,,2106,5,1259
13,27,11867,,13136,1519,2049
1,6285,7954,,8761,13,1589
37,1797,2246,,2389,13,1650
20,9173,11868,,13137,3,2280
18,27,701,Analytics,13138,4,106
6,9174,11869,,13139,27,132
54,27,6673,Analytics,7311,615,2093
40,27,11870,,12791,1520,765
19,6076,7677,,8436,13,2672
12,9175,223,,13140,1521,2509
77,788,8170,,9009,14,1115
18,27,11871,Analytics,13141,13,2088
10,9176,11872,,13142,13,409
13,5421,6837,Analytics,7483,11,2636
22,5861,7391,,8113,25,2026
23,657,823,Analytics,846,4,1030
22,9177,11873,,13143,64,626
26,1352,1693,Analytics,1776,7,426
26,27,3449,analytics,3704,13,1940
35,27,8906,,13144,1522,1160
26,27,6383,,6989,899,1496
26,27,11874,,13145,25,2699
23,8721,11242,,12438,13,288
12,6627,8407,,9266,13,1881
35,661,830,Analytics,854,214,719
86,6986,8889,Analytics,9776,15,879
16,2110,4634,,5032,4,1125
20,9178,11875,,13146,173,919
88,3613,32,,4901,4,242
37,8712,11230,Analytics,12423,4,2291
57,27,11876,,3962,765,139
5,799,1002,Analytics,1034,241,1291
57,4217,11877,,13147,4,2039
18,27,5749,Analytics,6258,67,1733
31,9179,11878,,3515,7,154
9,9180,11879,,13148,4,489
3,9181,11880,Analytics,13149,5,1099
22,6881,8749,,9630,22,56
45,4990,457,,11018,4,2050
6,9182,5898,,13150,3,1375
24,9183,11881,,13151,22,993
16,9184,11882,,13152,4,66
31,27,1156,,13153,1523,893
27,217,333,Analytics,337,11,1125
24,9185,11883,,13154,13,2539
15,9186,11884,,13155,13,125
2,9187,11885,,13156,13,2142
16,9188,11886,,13157,4,1921
20,27,8535,,9402,6,1028
59,5649,7118,,7802,22,1176
9,9189,11887,,13158,28,1395
27,8833,11390,,12611,7,2094
53,27,11888,,13159,20,1570
5,173,85,,203,68,2623
23,3904,4896,,5320,275,118
45,27,11889,,13160,13,1942
37,1590,1987,analytics,2099,4,1068
47,3641,4551,Analytics,4940,13,2365
4,29,1335,,1386,48,105
31,27,11890,,5286,790,2069
24,27,11891,,13161,4,902
5,27,11892,,13162,393,413
5,27,11893,,13163,48,1891
1,2167,2710,Analytics,2893,4,1115
1,4989,6269,,6852,3,2157
1,9190,9591,,13164,6,862
17,9191,11894,,13165,4,1225
31,27,8505,,9371,57,2093
30,9192,702,,13166,689,740
59,7250,9241,,10179,7,2339
22,9193,1801,,1892,4,104
36,5777,7282,,7990,25,1721
5,27,11895,,13167,13,436
58,27,260,,263,13,1614
15,3993,5018,,5442,15,1821
20,27,11896,,13168,1524,143
47,8085,10364,Analytics,11456,11,1114
9,4133,6888,Analytics,7540,14,1125
35,9194,11897,,13169,48,1478
13,9195,11898,,13170,1525,873
27,8441,10862,Analytics,12007,16,1657
22,27,4490,Analytics,4870,4,594
4,9196,1865,,13171,178,856
46,3193,4009,,4331,5,951
10,424,5969,Analytics,6502,13,1129
5,8216,10536,,11649,11,1683
35,1799,2247,Analytics,2391,4,5
6,6928,8809,,9696,4,2641
20,27,11899,,13172,4,1942
47,2172,9279,,10225,13,479
15,9197,11900,,13173,4,486
20,1314,11901,,3460,99,91
9,6295,11902,,13174,13,65
9,9198,3282,,13175,4,1528
27,8441,10862,Analytics,12007,16,1657
37,27,5195,,5647,82,1107
6,593,4359,,759,1257,1431
31,27,279,,59,1526,654
15,5334,6711,,7355,4,862
56,8770,11308,,12521,4,420
21,9199,11903,,13176,4,2638
35,5309,6686,,7325,91,878
39,264,4512,Analytics,4897,4,1126
12,9200,11904,,13177,4,1297
35,290,369,analytics,374,116,1224
8,476,2324,,2476,49,1125
28,42,44,,44,23,945
13,27,11905,,13178,249,1073
27,6277,7947,,8749,1122,2376
22,27,11906,,13179,108,932
18,9201,11907,,13180,13,203
18,9202,5292,,13181,14,1125
18,9203,10260,,13182,15,272
35,27,11908,,13183,34,2321
5,9204,11909,,13184,230,2620
6,27,10719,,13185,4,104
22,27,11910,,13186,305,2715
62,9205,11911,Analytics,13187,45,1167
17,1619,3502,,3760,4,1125
53,27,5593,ANALYTICS,13188,5,1368
5,5,3739,,4034,5,740
30,8431,10844,,11988,7,1499
12,9206,466,,13189,6,1809
6,6729,8546,Analytics,9413,4,1920
22,1900,2369,,2527,13,2435
5,27,5373,analytics,5842,827,784
6,6623,9689,analytic,10703,3,476
17,27,11912,,13190,20,2088
46,8843,11404,,12627,876,2656
23,27,1709,Analytics,1792,367,670
43,6519,297,,9117,4,2641
17,9207,11913,,13191,3,1125
53,5089,6400,,7009,7,1499
19,2239,11914,,13192,266,956
39,27,11915,,13193,4,2500
46,9208,11916,,13194,7,846
9,27,11917,,13195,13,371
31,5673,7145,,7833,1298,2233
27,9209,11918,,13196,122,521
86,27,3119,,3343,4,1034
9,27,9402,Analytics,4136,5,104
37,1765,2206,Analytics,2342,266,1433
69,3932,4936,,13197,14,2239
45,27,3962,analytics,4280,652,709
40,27,11919,analytics,13198,15,2484
4,1065,1331,,1381,122,2415
26,27,11920,,13199,13,592
40,9210,11921,,13200,6,135
5,1973,2463,Analytics,2627,11,662
6,7298,9301,,10254,3,1629
26,6541,8299,,9147,160,180
19,5604,7132,,7730,34,350
13,6168,10878,,12024,64,1046
27,9211,11922,Analytics,13201,1527,1854
15,4607,5812,analytics,6327,13,949
15,9212,11923,,13202,7,880
53,27,11924,,13203,1192,658
10,27,11925,,13204,32,593
9,3567,11926,,13205,6,66
37,5902,7440,,8174,5,2610
44,9213,11927,,13206,7,1099
17,9214,11928,Analytics,13207,15,362
6,7539,9596,,10600,518,334
27,4411,5576,,6065,3,347
21,27,1603,Analytics,1679,3,569
6,9215,11929,Analytics,13208,3,1881
26,27,11930,,6093,40,2423
13,8310,10666,,11792,842,1217
26,9216,11931,,13209,15,1051
12,9217,11932,,13210,1051,148
31,8290,10631,Analytics,11752,1018,1340
66,3103,3881,,4197,4,1650
30,9218,11933,,13211,1528,1158
40,27,11934,,13212,5,2070
35,27,11935,,13213,1529,2727
22,27,11936,,13214,741,967
20,27,2579,ANALYTICS,2748,15,424
63,9219,11937,,13215,1530,2202
22,4920,6186,,6754,65,813
24,9185,11883,,13154,13,2539
16,4465,5641,,6946,4,478
8,9220,11938,Analytics,13216,4,1920
17,1196,1494,,1559,4,2742
15,6553,8314,Analytics,9165,34,1114
16,9221,11939,,13217,13,103
13,27,11940,,13218,22,1255
8,5518,6956,Analytics,7617,45,1114
17,1602,10318,,11410,5,740
6,27,5348,,5814,3,1366
6,507,628,,642,4,2190
27,27,10204,,11277,1351,2614
22,27,11941,,13219,13,159
47,9222,259,,13220,45,1025
39,7369,9387,,10355,4,2277
37,1064,1330,,1380,6,152
26,3727,4662,,5067,734,956
16,1185,3917,,1542,331,1378
16,1185,1478,,1542,331,1378
16,7074,9010,,9917,5,1239
40,27,8053,,86,1531,824
36,27,5763,,6273,5,1878
81,27,11942,,13221,4,104
8,3717,11777,Analytics,13035,5,1582
31,27,279,,59,1526,654
23,3697,4621,Analytics,5017,730,1
6,3352,11831,,13097,14,1126
83,3202,11943,,13222,13,777
5,9223,11944,Analytics,13223,15,522
10,4222,5319,,5783,4,489
13,27,11945,,13224,4,322
77,4116,6423,Analytics,7032,4,1588
17,9224,11946,,13225,432,2247
24,3209,4025,analytics,4349,5,1736
53,405,11947,,13226,577,634
26,27,10480,,11588,380,1872
5,27,457,,9842,1532,623
17,4195,11948,,13227,5,748
12,9225,11949,,13228,4,2258
26,5274,6640,,7275,4,1093
62,27,2863,,3059,22,1266
10,9226,11950,,13229,22,1051
5,4340,11951,,5960,4,163
83,1738,2176,,2309,137,2355
10,9227,11952,,13230,16,2689
26,6606,8384,ANALYTICS,9239,733,315
18,9228,11953,,13231,184,1382
15,9229,11954,Analytics,13232,4,2492
6,8530,10976,,12140,14,1238
6,2555,3188,,3416,64,2360
14,882,1108,Analytics,1143,258,351
11,5283,6653,Analytics,7289,34,2511
30,27,3435,Analytics,8656,4,105
10,1214,11955,,1587,730,1
15,9230,11956,,13233,4,1999
6,9231,11957,,13234,4,1008
53,1669,2093,,2215,7,2698
35,9232,11958,Analytics,13235,1533,1229
31,27,85,,13236,491,931
24,9233,11959,,13237,708,486
21,5011,6296,Analytics,6883,136,2082
82,9234,11960,,13238,13,2025
12,9235,11961,,13239,15,2592
9,9236,11962,,13240,4,1342
42,9237,11963,,13241,3,2095
5,27,11964,,6558,15,1778
57,6589,11965,,9211,5,1921
84,5750,7242,,7943,4,547
9,2086,2610,,2787,86,1934
61,3241,11966,,13242,249,1976
19,9238,11967,,13243,486,1307
17,27,11968,,13244,5,838
13,9239,11969,,13245,49,638
18,27,11970,,13246,4,1667
39,9240,11971,,1193,1534,1432
23,2780,3478,,3737,4,2545
6,9241,11972,,13247,4,2412
46,707,6455,,7066,11,1114
20,7662,9766,,10795,4,2672
36,27,11973,,13248,5,2394
6,8367,10753,,11886,3,2277
13,5156,6489,analytics,7107,5,1942
13,9242,11974,,13249,7,551
20,1528,1901,,2005,4,2733
62,1808,2259,,13250,13,806
50,9243,11975,,13251,13,1921
40,9244,11976,,13252,503,1616
10,4913,6179,,6747,49,1081
12,8854,2697,,12646,4,97
10,27,4777,,5191,13,2320
20,7929,10131,,11197,4,1250
22,27,1973,Analytics,8870,4,104
15,2405,2986,,3202,15,1032
14,6949,8839,analytics,9728,442,1114
21,9245,11977,,13253,13,1714
1,3275,4105,,4437,173,2342
27,2488,3100,,3324,13,1832
39,3201,11978,,13254,4,740
17,9246,11979,,6948,3,1681
45,3716,567,,5047,160,2353
17,9247,11980,,13255,85,2529
15,7290,11981,,13256,5,2226
20,27,8830,,13257,652,2225
16,7511,460,Analytics,10559,4,485
35,5530,6969,,7636,13,1918
25,8349,10731,,11865,13,514
5,3853,4833,,5258,201,1065
31,27,9101,,7479,57,2093
39,9248,11982,Analytics,13258,22,2564
45,27,456,,12254,178,559
17,9249,10366,,13259,1389,1744
32,27,11983,,13260,27,1599
13,27,11984,Analytics,13261,13,104
22,9177,11873,,13143,64,626
22,8517,552,,12118,15,272
3,27,11985,,13262,57,2612
22,27,11095,,12276,106,1308
6,2511,11986,,13263,25,2025
4,27,11987,,13264,122,1798
17,27,6646,,13265,7,104
22,27,11988,,13266,3,1102
6,7708,9830,,10869,1314,545
1,9250,11989,Analytics,13267,13,516
49,9251,1521,,13268,7,2628
17,27,11990,,13269,4,970
12,9252,11,,13270,7,248
12,9253,11991,,13271,65,1513
24,27,7063,,7740,7,1535
6,2077,2598,,2773,496,1115
81,9254,11992,,13272,4,2065
27,9255,11993,,13273,7,2028
86,27,4016,,4339,4,107
39,565,705,,721,22,1759
20,27,10328,Analytics,11421,6,1458
8,9256,11994,,13274,67,740
22,27,5567,Analytics,13275,7,104
74,2385,2968,,3178,7,614
28,27,4159,,13276,4,242
44,3280,4110,Analytics,1473,13,2600
45,27,10745,,11879,6,1278
14,9257,11995,Analytics,13277,4,2377
17,9258,11996,,13278,5,797
53,9259,11997,,13279,1535,657
5,27,11998,,13280,3,1750
20,5528,995,Analytics,13281,7,2565
11,7743,11999,,1181,4,477
39,9260,12000,,13282,1536,1598
12,27,12001,,13283,259,2510
17,9261,1359,,13284,49,2675
53,27,12002,,256,6,1192
31,185,216,,220,11,120
20,9262,12003,,13285,13,968
43,2998,3758,,4056,15,443
8,9263,12004,analytics,13286,11,601
15,5056,6359,,6959,4,2246
1,9264,12005,,13287,5,1417
22,29,119,Analytics,5328,15,104
22,9265,12006,,13288,4,104
3,6623,9437,analytic,10411,3,476
56,2317,2887,,3087,191,75
24,9266,12007,,13289,3,828
22,27,12008,,13290,830,2336
18,9267,12009,,13291,22,2199
6,9268,12010,Analytics,13292,13,2558
5,6600,8375,Analytics,9229,11,1114
46,3334,12011,,13293,11,710
5,1168,1458,Analytics,1522,5,630
34,6211,7860,,8651,600,1665
20,27,12012,,112,1537,1479
26,27,12013,,13294,1538,1678
53,9269,4255,,13295,23,2389
14,9270,12014,,13296,4,2460
14,27,2431,,2595,13,1462
47,27,1913,,13297,45,377
40,27,5890,,13298,7,632
18,9271,12015,Analytics,13299,13,1936
21,6521,8272,,9120,13,2096
53,462,577,,590,13,546
27,5459,6889,analytics,7541,11,1125
32,27,11457,,13300,4,105
13,9272,12016,,13301,452,1539
35,85,97,,97,4,1829
31,27,5366,,3681,32,2286
37,1064,1330,,1380,6,152
22,27,12017,,13302,4,1492
5,5,1064,,1098,5,740
1,3188,12018,Analytics,4326,1053,1956
32,5375,12019,,13303,15,2165
6,3826,4801,Analytics,5220,22,776
22,29,5278,Analytics,5738,4,104
18,27,12020,,13304,5,1890
14,842,1244,analytics,3200,5,1490
17,27,12021,,13305,113,674
56,6937,8822,,9711,15,516
20,27,12022,,13306,22,972
9,9273,12023,Analytics,13307,13,5
6,5153,6488,,7104,972,450
22,9274,10697,,13308,1539,1805
